student_id,age,gender,socioeconomic_status,parent_education_level,attendance_rate,study_hours_per_week,quiz_average,assignment_submission_rate,engagement_index,financial_assistance,internet_access,learning_device_type,previous_grades,subject_difficulty,final_exam_score,preferred_learning_style,course_enrolled,interest_tags,pass_fail,risk_level,dropout_likelihood
1001,22.0,Female,Low,College,0.97,11.2,45.5,0.99,0.54,No,Stable,Laptop,57.4,Moderate,87.8,Kinesthetic,BSBA,"Teaching, Research",Pass,Safe,0.48
1002,19.0,Male,Low,High School,0.5,10.1,60.2,0.49,0.41,No,Limited,Desktop,57.7,Moderate,85.2,Visual,BSBA,"Accounting, Finance",Pass,At Risk,0.8
1003,23.0,Male,Middle,High School,0.61,10.4,71.4,0.68,0.72,No,Stable,Smartphone,92.7,Moderate,42.2,Kinesthetic,BSIT,"Teaching, Research",Fail,At Risk,0.56
1004,20.0,Female,High,High School,0.68,15.5,83.9,0.81,0.52,Yes,Stable,Laptop,70.0,Moderate,63.7,Reading,BSA,"Game Dev, Robotics",Fail,Moderate,0.65
1005,22.0,Female,Low,Elementary,0.74,3.0,40.2,0.64,0.91,No,Limited,Laptop,85.5,Easy,95.8,Kinesthetic,BSIT,"Leadership, Marketing",Pass,Moderate,0.33
1006,25.0,Male,Middle,College,0.93,7.4,68.0,0.98,1.0,Yes,Stable,Tablet,78.8,Hard,47.5,Reading,BSA,"Game Dev, Robotics",Fail,Safe,0.07
1007,18.0,Male,Middle,High School,0.54,2.4,57.8,0.83,0.83,No,Limited,Smartphone,80.4,Moderate,84.2,Visual,BSIT,"Teaching, Research",Pass,At Risk,0.55
1008,22.0,Female,Low,College,0.9,15.3,91.2,0.79,0.36,No,Stable,Smartphone,55.9,Hard,98.5,Reading,BSBA,"Teaching, Research",Pass,Safe,0.68
1009,23.0,Male,Middle,Graduate,0.53,6.2,82.9,0.85,0.5,No,None,Smartphone,60.5,Easy,43.1,Kinesthetic,BSBA,"Game Dev, Robotics",Fail,At Risk,0.74
1010,20.0,Female,Low,College,0.92,18.1,75.3,0.97,0.38,No,Stable,Laptop,85.4,Moderate,80.9,Auditory,BSA,"Programming, AI",Pass,Safe,0.65
1011,19.0,Female,Middle,High School,0.53,11.0,56.6,0.94,0.76,No,Stable,Laptop,93.7,Moderate,68.1,Reading,BSIT,"Programming, AI",Fail,At Risk,0.6
1012,23.0,Male,Low,Elementary,0.51,16.2,94.6,0.83,0.84,Yes,Stable,Smartphone,61.8,Moderate,74.8,Reading,BSA,"Programming, AI",Fail,At Risk,0.57
1013,23.0,Male,Low,Graduate,0.85,19.6,42.7,0.85,0.95,Yes,Stable,Laptop,62.2,Moderate,45.1,Visual,BSBA,"Teaching, Research",Fail,Moderate,0.19
1014,18.0,Female,Middle,Graduate,1.0,17.0,46.6,0.49,0.61,No,Limited,Laptop,71.3,Easy,42.6,Kinesthetic,BSIT,"Accounting, Finance",Fail,Safe,0.39
1015,21.0,Female,Low,High School,0.95,17.5,63.5,0.46,0.93,Yes,Limited,Desktop,94.3,Moderate,80.0,Reading,BSIT,"Teaching, Research",Pass,Safe,0.12
1016,20.0,Male,Low,College,0.79,8.8,47.5,0.74,0.91,Yes,Limited,Smartphone,62.1,Moderate,89.4,Reading,BSA,"Accounting, Finance",Pass,Moderate,0.28
1017,17.0,Female,Middle,Elementary,0.96,11.5,97.4,0.41,0.52,Yes,Stable,Smartphone,68.3,Easy,86.9,Reading,BSED,"Game Dev, Robotics",Pass,Safe,0.5
1018,23.0,Male,Low,High School,0.5,5.8,87.9,0.69,0.91,Yes,Stable,Smartphone,90.1,Moderate,72.6,Reading,BSA,"Leadership, Marketing",Fail,At Risk,0.54
1019,21.0,Female,High,High School,0.99,4.7,55.5,0.53,0.56,No,Stable,Smartphone,50.1,Moderate,46.0,Auditory,BSBA,"Accounting, Finance",Fail,Safe,0.45
1020,17.0,Male,Low,High School,0.75,10.6,75.3,0.61,0.51,No,Stable,Laptop,51.8,Easy,81.3,Kinesthetic,BSBA,"Programming, AI",Pass,Moderate,0.62
1021,20.0,Male,Middle,Graduate,0.86,12.3,98.9,0.87,0.75,No,Limited,Laptop,77.2,Hard,54.5,Visual,BSBA,"Teaching, Research",Fail,Safe,0.36
1022,16.0,Male,Middle,College,0.91,7.4,93.1,0.96,0.53,No,Stable,Laptop,90.8,Hard,94.7,Visual,BSBA,"Game Dev, Robotics",Pass,Safe,0.52
1023,25.0,Female,Middle,High School,0.86,11.8,76.0,0.44,0.74,No,Stable,Laptop,60.7,Moderate,90.3,Auditory,BSBA,"Programming, AI",Pass,Safe,0.36
1024,21.0,Female,Middle,College,0.77,17.9,94.2,0.72,0.73,Yes,Stable,Smartphone,71.1,Easy,82.6,Kinesthetic,BSED,"Game Dev, Robotics",Pass,Moderate,0.44
1025,24.0,Male,Low,Graduate,0.74,11.6,99.4,0.93,0.69,No,Limited,Laptop,70.3,Moderate,96.9,Reading,BSIT,"Leadership, Marketing",Pass,Moderate,0.49
1026,16.0,Female,High,Graduate,0.92,14.7,84.6,0.45,0.57,Yes,Limited,Laptop,71.3,Moderate,41.9,Auditory,BSA,"Teaching, Research",Fail,Safe,0.48
1027,25.0,Male,High,Elementary,0.6,16.3,43.9,0.89,0.68,No,Limited,Laptop,78.0,Moderate,84.2,Kinesthetic,BSA,"Teaching, Research",Pass,At Risk,0.59
1028,18.0,Male,High,High School,0.98,19.8,64.1,0.61,0.72,No,Stable,Laptop,71.1,Moderate,59.8,Reading,BSBA,"Leadership, Marketing",Fail,Safe,0.29
1029,22.0,Female,Low,High School,0.86,12.5,90.3,0.59,0.68,Yes,Stable,Laptop,70.1,Moderate,94.4,Auditory,BSA,"Teaching, Research",Pass,Safe,0.42
1030,19.0,Female,Low,High School,0.6,16.3,53.8,0.99,0.61,No,Limited,Laptop,71.3,Moderate,56.0,Kinesthetic,BSBA,"Accounting, Finance",Fail,At Risk,0.63
1031,24.0,Male,Middle,High School,0.87,19.3,89.8,0.52,0.31,No,Limited,Laptop,76.6,Moderate,83.5,Visual,BSED,"Game Dev, Robotics",Pass,Safe,0.73
1032,18.0,Female,Middle,College,0.76,18.9,47.2,0.82,0.71,No,Stable,Laptop,74.2,Moderate,92.7,Visual,BSED,"Programming, AI",Pass,Moderate,0.46
1033,20.0,Female,Middle,High School,0.85,3.7,42.8,0.89,0.42,Yes,Limited,Laptop,88.4,Hard,42.5,Kinesthetic,BSIT,"Leadership, Marketing",Fail,Moderate,0.64
1034,18.0,Male,High,High School,0.88,8.7,63.0,0.42,0.75,No,Limited,Smartphone,52.2,Moderate,63.9,Visual,BSED,"Accounting, Finance",Fail,Safe,0.34
1035,22.0,Male,Low,High School,0.54,7.2,42.2,0.8,0.83,No,Limited,Laptop,87.5,Moderate,85.7,Kinesthetic,BSED,"Programming, AI",Pass,At Risk,0.55
1036,20.0,Female,High,High School,0.75,2.7,97.4,0.97,0.65,Yes,Limited,Laptop,88.0,Hard,67.3,Reading,BSIT,"Programming, AI",Fail,Moderate,0.51
1037,24.0,Male,Middle,High School,0.97,13.0,89.6,0.47,0.68,Yes,Stable,Smartphone,62.8,Moderate,56.0,Kinesthetic,BSA,"Leadership, Marketing",Fail,Safe,0.34
1038,22.0,Male,High,High School,0.66,15.0,88.0,0.94,0.97,No,Stable,Laptop,70.8,Moderate,53.2,Reading,BSBA,"Accounting, Finance",Fail,Moderate,0.36
1039,17.0,Female,Low,Elementary,0.8,17.1,77.8,0.76,0.89,Yes,Stable,Tablet,69.7,Moderate,47.9,Auditory,BSBA,"Programming, AI",Fail,Moderate,0.29
1040,19.0,Male,Middle,High School,0.68,3.3,53.0,0.77,0.94,No,Limited,Smartphone,59.8,Moderate,91.4,Kinesthetic,BSA,"Programming, AI",Pass,Moderate,0.36
1041,24.0,Male,Middle,High School,0.73,17.7,71.1,0.77,0.87,No,Limited,Laptop,67.9,Hard,74.5,Auditory,BSIT,"Accounting, Finance",Fail,Moderate,0.36
1042,17.0,Female,Low,College,0.77,13.2,75.8,0.58,0.38,No,Limited,Smartphone,52.0,Moderate,44.6,Visual,BSA,"Teaching, Research",Fail,Moderate,0.71
1043,25.0,Female,Low,High School,0.77,14.4,71.5,0.96,0.4,Yes,Stable,Laptop,62.5,Hard,63.0,Reading,BSED,"Programming, AI",Fail,Moderate,0.69
1044,24.0,Male,High,High School,0.6,18.3,55.6,0.97,0.67,No,Limited,Smartphone,86.8,Easy,62.1,Kinesthetic,BSIT,"Game Dev, Robotics",Fail,At Risk,0.6
1045,25.0,Male,Middle,Elementary,0.84,12.9,70.9,0.78,0.47,Yes,Limited,Laptop,62.8,Easy,50.9,Auditory,BSIT,"Accounting, Finance",Fail,Moderate,0.61
